,time,open,high,low,close,tick_volume,spread,real_volume
0,1720468320,1.08316,1.08318,1.08314,1.08316,16,13,0
1,1720468380,1.08317,1.08317,1.08314,1.08316,10,12,0
2,1720468440,1.08316,1.08317,1.08315,1.08317,12,13,0
3,1720468500,1.08317,1.08325,1.08317,1.08317,13,11,0
4,1720468560,1.08317,1.08321,1.08315,1.08321,10,12,0
5,1720468620,1.08321,1.08327,1.08321,1.08325,21,11,0
6,1720468680,1.08325,1.08327,1.08323,1.08327,16,12,0
7,1720468740,1.08327,1.08327,1.08317,1.0832,26,12,0
8,1720468800,1.08319,1.08324,1.08318,1.08324,23,12,0
9,1720468860,1.08324,1.08328,1.0832,1.08328,23,12,0
10,1720468920,1.08327,1.08327,1.08322,1.08322,14,12,0
11,1720468980,1.08322,1.08322,1.08317,1.08317,11,13,0
12,1720469040,1.08317,1.08318,1.08312,1.08312,7,12,0
13,1720469100,1.08312,1.08312,1.08301,1.08301,15,11,0
14,1720469160,1.08301,1.08302,1.08293,1.08298,14,9,0
15,1720469220,1.08298,1.08302,1.08298,1.08298,8,11,0
16,1720469280,1.08298,1.08298,1.08291,1.08294,15,12,0
17,1720469340,1.08294,1.08297,1.08292,1.08292,11,12,0
18,1720469400,1.08292,1.08305,1.08292,1.08302,28,12,0
19,1720469460,1.08303,1.08307,1.08302,1.08307,29,13,0
20,1720469520,1.08306,1.08311,1.08305,1.08311,26,13,0
21,1720469580,1.08311,1.08317,1.08311,1.08316,15,13,0
22,1720469640,1.08317,1.08322,1.08316,1.08321,17,11,0
23,1720469700,1.0832,1.0832,1.0831,1.08314,21,10,0
24,1720469760,1.08313,1.08317,1.08311,1.08312,24,12,0
25,1720469820,1.08311,1.08316,1.0830899999999999,1.08316,12,11,0
26,1720469880,1.08316,1.0832600000000001,1.08313,1.0832600000000001,16,10,0
27,1720469940,1.0832600000000001,1.08327,1.08323,1.08325,11,12,0
28,1720470000,1.08325,1.0832600000000001,1.08317,1.0832600000000001,16,6,0
29,1720470060,1.08327,1.08327,1.08321,1.08321,9,12,0
30,1720470120,1.08321,1.08322,1.08317,1.08319,13,12,0
31,1720470180,1.08319,1.08322,1.08318,1.0832,8,13,0
32,1720470240,1.0832,1.08322,1.08318,1.08322,13,12,0
33,1720470300,1.08322,1.08323,1.08316,1.08317,15,10,0
34,1720470360,1.08317,1.08318,1.08313,1.08315,11,13,0
35,1720470420,1.08315,1.08315,1.08305,1.08306,13,12,0
36,1720470480,1.08306,1.08307,1.08303,1.08303,14,13,0
37,1720470540,1.08303,1.08304,1.083,1.08302,15,12,0
38,1720470600,1.08302,1.08314,1.08302,1.0831,20,10,0
39,1720470660,1.08311,1.08312,1.08302,1.08303,16,12,0
40,1720470720,1.08303,1.08307,1.08303,1.08306,10,13,0
41,1720470780,1.08306,1.08311,1.08306,1.0831,10,11,0
42,1720470840,1.0831,1.08311,1.08304,1.08306,12,11,0
43,1720470900,1.08306,1.08306,1.08304,1.08305,12,14,0
44,1720470960,1.08305,1.08312,1.08305,1.0831,11,12,0
45,1720471020,1.0830899999999999,1.0831,1.08307,1.0830899999999999,10,13,0
46,1720471080,1.08308,1.08311,1.08308,1.0830899999999999,12,12,0
47,1720471140,1.0831,1.08316,1.0830899999999999,1.08316,12,12,0
48,1720471200,1.08317,1.08323,1.08316,1.08321,16,12,0
49,1720471260,1.08321,1.08322,1.0832,1.08321,16,13,0
50,1720471320,1.08321,1.08322,1.08316,1.08316,10,12,0
51,1720471380,1.08316,1.08317,1.08311,1.08316,17,11,0
52,1720471440,1.08316,1.08316,1.08315,1.08315,4,12,0
53,1720471500,1.08315,1.08327,1.08315,1.0832600000000001,23,12,0
54,1720471560,1.0832600000000001,1.08332,1.0832600000000001,1.0833,17,12,0
55,1720471620,1.0833,1.08331,1.08329,1.0833,7,13,0
56,1720471680,1.0833,1.0833,1.08318,1.08318,19,11,0
57,1720471740,1.08318,1.08324,1.08318,1.0832,16,12,0
58,1720471800,1.0832,1.08324,1.08319,1.08324,18,12,0
59,1720471860,1.08325,1.08327,1.08325,1.0832600000000001,10,12,0
60,1720471920,1.08327,1.08332,1.08327,1.0833,18,12,0
61,1720471980,1.0833,1.0833,1.08327,1.08327,3,12,0
62,1720472040,1.08327,1.08327,1.08324,1.08325,12,12,0
63,1720472100,1.08325,1.08325,1.08318,1.08319,14,13,0
64,1720472160,1.08319,1.08319,1.08314,1.08314,30,13,0
65,1720472220,1.08314,1.08317,1.08313,1.08315,20,12,0
66,1720472280,1.08314,1.08314,1.08304,1.08305,23,8,0
67,1720472340,1.08306,1.08316,1.08306,1.08315,15,13,0
68,1720472400,1.08315,1.08315,1.08308,1.0830899999999999,21,13,0
69,1720472460,1.0831,1.08311,1.08306,1.0830899999999999,18,12,0
70,1720472520,1.0830899999999999,1.08313,1.08308,1.08312,19,12,0
71,1720472580,1.08312,1.08312,1.08307,1.08308,17,12,0
72,1720472640,1.08308,1.0831,1.08304,1.08304,11,12,0
73,1720472700,1.08304,1.08304,1.08295,1.08296,24,13,0
74,1720472760,1.08296,1.08296,1.08293,1.08294,15,13,0
75,1720472820,1.08294,1.08294,1.08284,1.08285,44,12,0
76,1720472880,1.08285,1.08287,1.08284,1.08285,30,13,0
77,1720472940,1.08285,1.08286,1.08285,1.08285,29,13,0
78,1720473000,1.08286,1.08287,1.08284,1.08286,37,12,0
79,1720473060,1.08286,1.08286,1.08279,1.08279,10,12,0
80,1720473120,1.08279,1.08282,1.08279,1.08281,7,13,0
81,1720473180,1.08281,1.08286,1.0828,1.08284,17,12,0
82,1720473240,1.08284,1.08286,1.08283,1.08283,9,12,0
83,1720473300,1.08283,1.08284,1.08282,1.08283,11,12,0
84,1720473360,1.08283,1.08289,1.08282,1.08287,11,12,0
85,1720473420,1.08287,1.08295,1.08287,1.08293,33,11,0
86,1720473480,1.08292,1.08293,1.08291,1.08292,15,13,0
87,1720473540,1.08292,1.08295,1.08292,1.08294,21,13,0
88,1720473600,1.08294,1.083,1.08294,1.08297,38,11,0
89,1720473660,1.08298,1.08299,1.08297,1.08299,9,12,0
90,1720473720,1.08298,1.08299,1.08294,1.08296,11,13,0
91,1720473780,1.08295,1.083,1.08295,1.08298,10,12,0
92,1720473840,1.08298,1.08299,1.08295,1.08296,13,13,0
93,1720473900,1.08296,1.08296,1.08293,1.08295,11,12,0
94,1720473960,1.08295,1.08298,1.08294,1.08295,13,11,0
95,1720474020,1.08295,1.08295,1.08293,1.08294,8,11,0
96,1720474080,1.08294,1.08294,1.08288,1.0829,20,11,0
97,1720474140,1.0829,1.0829,1.08286,1.08286,11,12,0
98,1720474200,1.08287,1.08287,1.08283,1.08283,11,10,0
99,1720474260,1.08283,1.08283,1.08278,1.08278,19,12,0
100,1720474320,1.08278,1.08278,1.08277,1.08278,7,14,0
101,1720474380,1.08278,1.08279,1.08276,1.08277,8,13,0
102,1720474440,1.08277,1.08278,1.08276,1.08276,5,13,0
103,1720474500,1.08277,1.08277,1.08272,1.08272,6,13,0
104,1720474560,1.08272,1.08272,1.08268,1.08269,13,11,0
105,1720474620,1.08269,1.08269,1.08267,1.08267,5,12,0
106,1720474680,1.08267,1.08269,1.08262,1.08263,22,12,0
107,1720474740,1.08263,1.08267,1.08262,1.08263,21,11,0
108,1720474800,1.08263,1.08263,1.08253,1.08253,22,13,0
109,1720474860,1.08253,1.08254,1.08243,1.08245,29,12,0
110,1720474920,1.08244,1.08245,1.08236,1.08238,20,12,0
111,1720474980,1.08238,1.0824,1.08233,1.0824,21,10,0
112,1720475040,1.08239,1.0824799999999999,1.08239,1.0824799999999999,10,11,0
113,1720475100,1.0824799999999999,1.0824799999999999,1.08238,1.08238,19,12,0
114,1720475160,1.08239,1.08241,1.08235,1.0824,51,13,0
115,1720475220,1.0824,1.08241,1.08238,1.08241,8,12,0
116,1720475280,1.08241,1.08241,1.08239,1.0824,7,12,0
117,1720475340,1.0824,1.08243,1.08236,1.08243,20,10,0
118,1720475400,1.08243,1.08243,1.08239,1.0824,12,13,0
119,1720475460,1.08241,1.08251,1.08241,1.0825,13,12,0
120,1720475520,1.0825,1.08256,1.08243,1.08246,17,5,0
121,1720475580,1.08246,1.08249,1.08243,1.08244,20,13,0
122,1720475640,1.08244,1.08245,1.08242,1.08242,15,12,0
123,1720475700,1.08243,1.08258,1.08243,1.08256,24,11,0
124,1720475760,1.08256,1.08257,1.08253,1.08254,16,12,0
125,1720475820,1.08254,1.08254,1.08249,1.0825,14,11,0
126,1720475880,1.0825,1.08251,1.0824799999999999,1.08249,8,12,0
127,1720475940,1.08249,1.08259,1.08249,1.08258,22,11,0
128,1720476000,1.08258,1.08259,1.08257,1.08257,10,13,0
129,1720476060,1.08257,1.08264,1.08257,1.08262,14,12,0
130,1720476120,1.08261,1.08261,1.08252,1.08258,14,12,0
131,1720476180,1.08258,1.08259,1.08255,1.08258,22,12,0
132,1720476240,1.08258,1.0826,1.08256,1.08257,14,12,0
133,1720476300,1.08257,1.08259,1.08254,1.08255,21,12,0
134,1720476360,1.08255,1.08258,1.08253,1.08257,12,12,0
135,1720476420,1.08257,1.08258,1.0824799999999999,1.08249,18,12,0
136,1720476480,1.08249,1.0825,1.08244,1.0824799999999999,14,12,0
137,1720476540,1.0824799999999999,1.08249,1.08244,1.08244,12,13,0
138,1720476600,1.08245,1.08247,1.08242,1.08242,22,12,0
139,1720476660,1.08242,1.08242,1.08236,1.08238,16,10,0
140,1720476720,1.08237,1.08246,1.08237,1.08245,21,11,0
141,1720476780,1.08245,1.0824799999999999,1.08243,1.08244,18,12,0
142,1720476840,1.08243,1.08245,1.08241,1.08243,11,12,0
143,1720476900,1.08243,1.08243,1.08234,1.08235,12,11,0
144,1720476960,1.08235,1.08236,1.08231,1.08235,18,11,0
145,1720477020,1.08236,1.08236,1.08233,1.08234,12,13,0
146,1720477080,1.08234,1.08237,1.08232,1.08232,17,11,0
147,1720477140,1.08231,1.08233,1.08231,1.08233,9,13,0
148,1720477200,1.08233,1.08233,1.08226,1.08227,15,11,0
149,1720477260,1.08227,1.08233,1.08227,1.0823,16,12,0
150,1720477320,1.0823,1.08235,1.0823,1.08232,16,12,0
151,1720477380,1.08231,1.08231,1.08225,1.08225,10,12,0
152,1720477440,1.08225,1.08228,1.08225,1.08225,16,13,0
153,1720477500,1.08225,1.08228,1.08224,1.08225,24,12,0
154,1720477560,1.08226,1.08226,1.0822,1.08221,48,13,0
155,1720477620,1.08222,1.08225,1.08221,1.08223,15,12,0
156,1720477680,1.08223,1.08227,1.0822,1.08226,23,13,0
157,1720477740,1.08227,1.0823,1.08227,1.08227,11,12,0
158,1720477800,1.08228,1.08233,1.08228,1.0823,16,12,0
159,1720477860,1.0823,1.08233,1.0823,1.08232,12,12,0
160,1720477920,1.08232,1.08235,1.08231,1.08232,16,13,0
161,1720477980,1.08231,1.08236,1.0823,1.08236,20,13,0
162,1720478040,1.08236,1.08237,1.08235,1.08237,16,13,0
163,1720478100,1.08237,1.08237,1.08235,1.08237,11,13,0
164,1720478160,1.08237,1.08238,1.08235,1.08237,8,12,0
165,1720478220,1.08237,1.08238,1.08231,1.08232,16,13,0
166,1720478280,1.08232,1.08235,1.0823,1.08231,21,12,0
167,1720478340,1.0823,1.08232,1.0823,1.08231,31,13,0
168,1720478400,1.08232,1.08232,1.0823,1.08232,7,13,0
169,1720478460,1.08232,1.08232,1.08231,1.08231,2,13,0
170,1720478520,1.08231,1.08233,1.08231,1.08233,5,13,0
171,1720478580,1.08233,1.08237,1.08233,1.08235,17,11,0
172,1720478640,1.08235,1.08238,1.08234,1.08235,14,12,0
173,1720478700,1.08235,1.08238,1.08235,1.08237,7,13,0
174,1720478760,1.08241,1.08244,1.08241,1.08243,4,10,0
175,1720478820,1.08242,1.08249,1.08242,1.08249,11,10,0
176,1720478880,1.08249,1.08254,1.08246,1.08247,39,11,0
177,1720478940,1.08247,1.08249,1.08243,1.0824799999999999,24,12,0
178,1720479000,1.0824799999999999,1.08253,1.0824799999999999,1.08251,28,12,0
179,1720479060,1.08251,1.08253,1.08251,1.08251,17,12,0
180,1720479120,1.08252,1.08255,1.08251,1.08251,17,13,0
181,1720479180,1.0824799999999999,1.0824799999999999,1.08245,1.0824799999999999,25,13,0
182,1720479240,1.0824799999999999,1.08251,1.08247,1.08249,21,13,0
183,1720479300,1.0825,1.08252,1.08244,1.08246,32,13,0
184,1720479360,1.08246,1.08247,1.08243,1.08244,28,13,0
185,1720479420,1.08245,1.08249,1.08242,1.0824799999999999,18,12,0
186,1720479480,1.0824799999999999,1.08249,1.08246,1.08246,22,13,0
187,1720479540,1.08246,1.08249,1.08246,1.0824799999999999,15,12,0
188,1720479600,1.0824799999999999,1.08249,1.08236,1.08237,31,11,0
189,1720479660,1.08237,1.08244,1.08237,1.08242,30,12,0
