,time,open,high,low,close,tick_volume,spread,real_volume
0,1718890200,1.07258,1.07293,1.0725500000000001,1.07292,389,8,0
1,1718891100,1.07293,1.07306,1.07261,1.07275,441,5,0
2,1718892000,1.07277,1.07311,1.07251,1.07262,883,8,0
3,1718892900,1.07261,1.07298,1.07256,1.07275,554,11,0
4,1718893800,1.07274,1.07303,1.07227,1.07263,672,8,0
5,1718894700,1.07263,1.07279,1.07125,1.07145,715,10,0
6,1718895600,1.07144,1.07209,1.07132,1.07186,897,9,0
7,1718896500,1.07187,1.07249,1.07173,1.07231,707,10,0
8,1718897400,1.07234,1.07291,1.07171,1.07223,1764,9,0
9,1718898300,1.07224,1.07252,1.0717,1.07193,1219,10,0
10,1718899200,1.07192,1.07227,1.07159,1.07209,974,8,0
11,1718900100,1.07209,1.07236,1.07181,1.07232,868,9,0
12,1718901000,1.07232,1.07275,1.07193,1.07266,1159,4,0
13,1718901900,1.07265,1.0728,1.07217,1.07237,820,8,0
14,1718902800,1.0723799999999999,1.07283,1.07229,1.07249,808,11,0
15,1718903700,1.07248,1.07298,1.07222,1.07277,775,8,0
16,1718904600,1.07278,1.07297,1.07249,1.07291,699,11,0
17,1718905500,1.07291,1.07297,1.07199,1.07213,953,10,0
18,1718906400,1.07212,1.07219,1.07113,1.07123,807,8,0
19,1718907300,1.07124,1.07182,1.07123,1.07152,876,9,0
20,1718908200,1.07152,1.0719,1.07147,1.07153,546,10,0
21,1718909100,1.07153,1.07158,1.07066,1.07067,712,9,0
22,1718910000,1.07068,1.07089,1.07044,1.07086,671,10,0
23,1718910900,1.07087,1.07095,1.0707,1.07074,462,12,0
24,1718911800,1.07076,1.07081,1.07029,1.07073,569,6,0
25,1718912700,1.07073,1.07099,1.07052,1.07067,617,10,0
26,1718913600,1.07067,1.07091,1.07049,1.07076,664,10,0
27,1718914500,1.07075,1.07088,1.07039,1.07065,526,11,0
28,1718915400,1.07066,1.07079,1.07037,1.0707,472,11,0
29,1718916300,1.07069,1.07073,1.07044,1.07066,340,11,0
30,1718917200,1.07067,1.07106,1.07067,1.07101,336,8,0
31,1718918100,1.071,1.07171,1.07098,1.07155,370,11,0
32,1718919000,1.07154,1.07164,1.07118,1.07128,382,13,0
33,1718919900,1.07128,1.07134,1.07091,1.07094,445,12,0
34,1718920800,1.07093,1.07102,1.07061,1.07071,488,12,0
35,1718921700,1.0707200000000001,1.0707200000000001,1.07029,1.07057,486,10,0
36,1718922600,1.07056,1.07064,1.07033,1.07036,567,10,0
37,1718923500,1.07036,1.07078,1.07031,1.07045,403,11,0
38,1718924400,1.07045,1.07054,1.07034,1.07038,236,13,0
39,1718925300,1.07039,1.07041,1.0701100000000001,1.07019,141,13,0
40,1718926200,1.07019,1.07032,1.07015,1.07031,97,10,0
41,1718927100,1.07031,1.07032,1.07013,1.07018,116,12,0
42,1718928000,1.0701100000000001,1.0702,1.07008,1.0702,32,27,0
43,1718928900,1.0702,1.07032,1.07013,1.07027,103,15,0
44,1718929800,1.0703,1.07044,1.07026,1.07026,182,11,0
45,1718930700,1.07027,1.07043,1.07027,1.07031,104,14,0
46,1718931600,1.07032,1.07033,1.07002,1.07003,152,13,0
47,1718932500,1.07003,1.07015,1.07003,1.07014,117,13,0
48,1718933400,1.07014,1.07022,1.07008,1.07022,62,13,0
49,1718934300,1.0702099999999999,1.07024,1.07014,1.07016,54,14,0
50,1718935200,1.07013,1.0704,1.07013,1.0704,130,13,0
51,1718936100,1.0704,1.07067,1.0704,1.0706,190,12,0
52,1718937000,1.07061,1.07061,1.07044,1.07048,133,11,0
53,1718937900,1.07048,1.07064,1.07041,1.07052,117,12,0
54,1718938800,1.07052,1.07065,1.07035,1.07036,312,11,0
55,1718939700,1.07036,1.07052,1.07027,1.07047,294,10,0
56,1718940600,1.07047,1.07069,1.07047,1.07057,205,10,0
57,1718941500,1.07058,1.07067,1.07038,1.07059,347,11,0
58,1718942400,1.07058,1.07081,1.07043,1.07048,409,11,0
59,1718943300,1.07047,1.0708199999999999,1.07044,1.07075,302,9,0
60,1718944200,1.07075,1.0708199999999999,1.0706,1.07073,313,13,0
61,1718945100,1.07073,1.07099,1.07071,1.07093,308,12,0
62,1718946000,1.07093,1.07121,1.07092,1.07118,285,12,0
63,1718946900,1.07118,1.07127,1.07109,1.07126,347,12,0
64,1718947800,1.07127,1.07165,1.07126,1.07145,358,9,0
65,1718948700,1.07145,1.07166,1.07137,1.07159,324,11,0
66,1718949600,1.07158,1.07158,1.0713,1.0714,210,11,0
67,1718950500,1.0714,1.07157,1.0713,1.0715,176,11,0
68,1718951400,1.07149,1.07155,1.07145,1.07151,137,13,0
69,1718952300,1.0715,1.07159,1.07147,1.07158,114,13,0
70,1718953200,1.07158,1.07158,1.07148,1.07155,122,11,0
71,1718954100,1.07155,1.07156,1.07154,1.07156,120,14,0
72,1718955000,1.07156,1.07168,1.07148,1.07155,179,13,0
73,1718955900,1.07156,1.07177,1.07155,1.07174,184,13,0
74,1718956800,1.07174,1.07184,1.0717,1.07175,203,12,0
75,1718957700,1.07174,1.07191,1.07173,1.07186,301,14,0
76,1718958600,1.07186,1.07191,1.07171,1.07171,356,11,0
77,1718959500,1.07171,1.07174,1.0714299999999999,1.07172,345,11,0
78,1718960400,1.07172,1.07196,1.07159,1.07188,574,8,0
79,1718961300,1.07188,1.0719400000000001,1.07162,1.07168,501,12,0
80,1718962200,1.07168,1.07169,1.07106,1.07128,566,11,0
81,1718963100,1.07128,1.07147,1.07087,1.07103,592,10,0
82,1718964000,1.07103,1.07105,1.07019,1.07064,613,9,0
83,1718964900,1.07041,1.07041,1.06906,1.06977,1109,0,0
84,1718965800,1.06977,1.06977,1.06713,1.06791,1832,0,0
85,1718966700,1.06793,1.06813,1.06752,1.06775,1019,6,0
86,1718967600,1.06775,1.06885,1.06756,1.06884,948,9,0
87,1718968500,1.06883,1.06884,1.06803,1.06837,760,7,0
88,1718969400,1.06837,1.0693,1.0681,1.06929,972,0,0
89,1718970300,1.0693,1.06938,1.06877,1.06898,750,9,0
90,1718971200,1.06898,1.06918,1.06848,1.06848,799,8,0
91,1718972100,1.06847,1.06876,1.06821,1.06863,775,6,0
92,1718973000,1.06862,1.06938,1.06859,1.06934,781,9,0
93,1718973900,1.06934,1.06969,1.06919,1.06965,633,11,0
94,1718974800,1.06965,1.06968,1.06904,1.0691,560,5,0
95,1718975700,1.0691,1.0691,1.06848,1.06891,609,9,0
96,1718976600,1.06891,1.06895,1.06798,1.0681,630,7,0
97,1718977500,1.0681,1.06831,1.06758,1.06805,713,9,0
98,1718978400,1.06805,1.06857,1.06793,1.06844,678,9,0
99,1718979300,1.06843,1.06863,1.06821,1.0686,543,10,0
100,1718980200,1.0686,1.06868,1.06827,1.06833,445,10,0
101,1718981100,1.06833,1.06895,1.06832,1.0688,570,11,0
102,1718982000,1.06881,1.06907,1.06852,1.06853,756,9,0
103,1718982900,1.06854,1.06922,1.06835,1.0692,711,8,0
104,1718983800,1.06921,1.06924,1.06874,1.06903,715,9,0
105,1718984700,1.06903,1.0694,1.06864,1.06936,784,10,0
106,1718985600,1.06936,1.06966,1.06895,1.06905,758,9,0
107,1718986500,1.06905,1.06928,1.06863,1.06916,772,9,0
108,1718987400,1.06917,1.06958,1.06896,1.06947,1081,11,0
109,1718988300,1.06921,1.06921,1.06766,1.06817,2058,0,0
110,1718989200,1.06818,1.06918,1.06802,1.06917,1588,9,0
111,1718990100,1.06917,1.0695000000000001,1.0688900000000001,1.06947,1013,10,0
112,1718991000,1.06946,1.06966,1.06859,1.06862,1019,7,0
113,1718991900,1.06862,1.06915,1.06784,1.06804,1368,6,0
114,1718992800,1.06803,1.06861,1.06795,1.06854,1151,8,0
115,1718993700,1.06855,1.06858,1.06815,1.0683,848,10,0
116,1718994600,1.06831,1.0688,1.06816,1.06875,651,10,0
117,1718995500,1.06875,1.06943,1.06874,1.06934,415,10,0
118,1718996400,1.06935,1.06953,1.06907,1.06908,433,10,0
119,1718997300,1.06908,1.0693,1.06898,1.0689899999999999,482,9,0
120,1718998200,1.06898,1.06958,1.06892,1.06953,392,9,0
121,1718999100,1.06953,1.06954,1.06918,1.06919,449,11,0
122,1719000000,1.06918,1.06929,1.0691,1.06913,340,12,0
123,1719000900,1.06913,1.06924,1.06904,1.06919,287,11,0
124,1719001800,1.06919,1.06932,1.06915,1.06924,259,8,0
125,1719002700,1.06923,1.06939,1.06903,1.06929,275,13,0
126,1719003600,1.06929,1.06945,1.06914,1.06934,348,11,0
127,1719004500,1.06934,1.06961,1.06933,1.06955,262,13,0
128,1719005400,1.06954,1.06965,1.06941,1.0695000000000001,260,10,0
129,1719006300,1.0695000000000001,1.06954,1.06932,1.06944,218,11,0
130,1719007200,1.06944,1.06965,1.06938,1.06944,294,11,0
131,1719008100,1.06944,1.06959,1.06932,1.06933,241,12,0
132,1719009000,1.06933,1.06941,1.06913,1.06937,233,13,0
133,1719009900,1.06936,1.06941,1.06906,1.06914,307,12,0
134,1719010800,1.06914,1.06928,1.06903,1.06928,192,14,0
135,1719011700,1.06929,1.06942,1.06925,1.06931,184,11,0
136,1719012600,1.06932,1.06935,1.06923,1.06932,183,12,0
137,1719013500,1.06933,1.06938,1.06913,1.06914,228,11,0
138,1719187200,1.06886,1.06886,1.06886,1.06886,2,41,0
139,1719188100,1.06886,1.06909,1.06854,1.06877,355,3,0
140,1719189000,1.0688,1.06904,1.0688,1.06897,136,12,0
141,1719189900,1.06897,1.06908,1.06893,1.06897,95,12,0
142,1719190800,1.06902,1.06917,1.06896,1.06912,201,12,0
143,1719191700,1.06912,1.06913,1.06902,1.06908,64,13,0
144,1719192600,1.06909,1.06917,1.06901,1.06917,96,11,0
145,1719193500,1.06919,1.06926,1.06896,1.06926,145,7,0
146,1719194400,1.06927,1.06945,1.06924,1.06933,157,8,0
147,1719195300,1.06931,1.06938,1.06902,1.06902,144,10,0
148,1719196200,1.06902,1.06905,1.06893,1.06894,91,10,0
149,1719197100,1.06895,1.0689899999999999,1.06872,1.06876,226,10,0
150,1719198000,1.06876,1.06879,1.06848,1.0685,261,8,0
151,1719198900,1.06849,1.06885,1.06847,1.06882,229,7,0
152,1719199800,1.06882,1.06913,1.06882,1.06905,158,10,0
153,1719200700,1.06905,1.06926,1.06895,1.06909,277,9,0
154,1719201600,1.06909,1.06917,1.06861,1.06867,337,9,0
155,1719202500,1.06867,1.06882,1.06828,1.06876,513,9,0
156,1719203400,1.06875,1.06896,1.0685,1.06886,379,8,0
157,1719204300,1.06887,1.069,1.06879,1.06895,282,10,0
158,1719205200,1.06896,1.06901,1.06878,1.0688900000000001,202,9,0
159,1719206100,1.0688900000000001,1.0692,1.06883,1.06912,242,10,0
160,1719207000,1.06913,1.06923,1.06884,1.06884,243,7,0
161,1719207900,1.06884,1.0689899999999999,1.06873,1.0688900000000001,248,9,0
162,1719208800,1.0688900000000001,1.06909,1.06888,1.06902,191,10,0
163,1719209700,1.06902,1.06908,1.06887,1.06902,209,8,0
164,1719210600,1.06903,1.06924,1.06903,1.06916,205,11,0
165,1719211500,1.06916,1.0692,1.069,1.0691,177,10,0
166,1719212400,1.06911,1.06923,1.06903,1.06922,236,11,0
167,1719213300,1.06922,1.06923,1.0691,1.06916,304,11,0
168,1719214200,1.06916,1.06932,1.06914,1.06929,354,10,0
169,1719215100,1.06928,1.06934,1.06922,1.06934,127,10,0
170,1719216000,1.06935,1.06971,1.06935,1.0695999999999999,244,9,0
171,1719216900,1.0695999999999999,1.0695999999999999,1.0694,1.06951,260,7,0
172,1719217800,1.06951,1.06969,1.06951,1.0695999999999999,343,9,0
173,1719218700,1.06961,1.06983,1.06961,1.06975,333,10,0
174,1719219600,1.06974,1.07009,1.06962,1.06995,495,7,0
175,1719220500,1.06995,1.07052,1.06987,1.07026,620,8,0
176,1719221400,1.07026,1.07061,1.07024,1.07041,397,5,0
177,1719222300,1.07042,1.07042,1.06999,1.07022,407,8,0
178,1719223200,1.0702099999999999,1.07076,1.07014,1.07071,607,8,0
179,1719224100,1.0707,1.07073,1.0702,1.07037,491,9,0
180,1719225000,1.07037,1.0714,1.07033,1.0713300000000001,724,3,0
181,1719225900,1.07132,1.0714,1.07106,1.07119,577,9,0
182,1719226800,1.07118,1.07138,1.0708,1.07129,745,9,0
183,1719227700,1.07129,1.07161,1.07129,1.07135,563,8,0
184,1719228600,1.07135,1.07172,1.07106,1.07172,572,6,0
185,1719229500,1.07172,1.07172,1.07122,1.07127,574,8,0
186,1719230400,1.07127,1.07189,1.07123,1.07174,578,8,0
187,1719231300,1.07174,1.07257,1.07163,1.0724,694,5,0
188,1719232200,1.07239,1.07282,1.07228,1.07267,658,5,0
189,1719233100,1.07267,1.07267,1.07214,1.07222,470,10,0
190,1719234000,1.07221,1.07254,1.07198,1.07217,934,7,0
191,1719234900,1.07216,1.0723799999999999,1.07191,1.07209,561,7,0
192,1719235800,1.07209,1.07274,1.07196,1.07272,613,5,0
193,1719236700,1.07272,1.07301,1.07244,1.07291,543,1,0
194,1719237600,1.07289,1.07331,1.07282,1.07293,682,4,0
195,1719238500,1.07293,1.0729899999999999,1.07262,1.07279,487,8,0
196,1719239400,1.07279,1.07308,1.07261,1.07285,470,7,0
197,1719240300,1.07285,1.07351,1.07272,1.0735,565,4,0
198,1719241200,1.0735,1.0735,1.07277,1.07284,823,8,0
199,1719242100,1.07283,1.07321,1.07258,1.07284,602,7,0
200,1719243000,1.07284,1.07315,1.07254,1.0727,619,8,0
201,1719243900,1.0727,1.0734,1.07262,1.07336,683,8,0
202,1719244800,1.07337,1.07383,1.07336,1.07364,679,7,0
203,1719245700,1.07364,1.07403,1.07349,1.0737,775,5,0
204,1719246600,1.0737,1.074,1.07348,1.07366,739,9,0
205,1719247500,1.07366,1.07426,1.0735999999999999,1.07419,675,5,0
206,1719248400,1.07419,1.07456,1.07379,1.07393,1034,8,0
207,1719249300,1.07393,1.07396,1.07324,1.07325,786,8,0
208,1719250200,1.07325,1.07356,1.07323,1.07324,689,7,0
209,1719251100,1.07322,1.07329,1.07269,1.07297,858,6,0
210,1719252000,1.07297,1.07329,1.07269,1.07274,543,9,0
211,1719252900,1.07274,1.07304,1.0726,1.07278,397,5,0
212,1719253800,1.07281,1.07284,1.07251,1.07259,370,10,0
213,1719254700,1.07259,1.0731600000000001,1.07234,1.07275,423,8,0
214,1719255600,1.07275,1.07318,1.07264,1.07295,409,7,0
215,1719256500,1.07295,1.07297,1.07275,1.07277,321,9,0
216,1719257400,1.07277,1.07297,1.07272,1.07281,260,10,0
217,1719258300,1.0728,1.07291,1.07269,1.07274,288,10,0
218,1719259200,1.07273,1.07273,1.07225,1.07234,362,10,0
219,1719260100,1.07232,1.07245,1.07223,1.07233,293,9,0
220,1719261000,1.07233,1.07256,1.07217,1.0725500000000001,331,8,0
221,1719261900,1.07256,1.07263,1.07226,1.07247,262,8,0
222,1719262800,1.07248,1.07261,1.07241,1.07256,310,10,0
223,1719263700,1.07256,1.07317,1.0725,1.07314,341,9,0
224,1719264600,1.07314,1.07356,1.07314,1.07346,216,9,0
225,1719265500,1.07347,1.07372,1.07345,1.07346,276,9,0
226,1719266400,1.07347,1.07352,1.07333,1.07341,336,10,0
227,1719267300,1.07341,1.07359,1.07335,1.07348,284,9,0
228,1719268200,1.07348,1.07374,1.07336,1.07362,251,9,0
229,1719269100,1.07363,1.07365,1.07345,1.07353,458,10,0
230,1719270000,1.07352,1.07367,1.07343,1.07363,284,10,0
231,1719270900,1.07363,1.07365,1.07342,1.07344,164,12,0
232,1719271800,1.07344,1.0735,1.07336,1.07339,301,11,0
233,1719272700,1.07339,1.07344,1.0733,1.07333,111,11,0
234,1719273600,1.0731,1.0732,1.0731,1.0731600000000001,20,37,0
235,1719274500,1.07317,1.07333,1.07314,1.07331,92,19,0
236,1719275400,1.07332,1.07341,1.0732,1.07325,107,12,0
237,1719276300,1.07326,1.07334,1.07313,1.07326,205,12,0
238,1719277200,1.07325,1.07338,1.07319,1.07331,161,11,0
239,1719278100,1.0733,1.0734,1.07329,1.07335,63,12,0
240,1719279000,1.07335,1.07348,1.07335,1.0734,73,13,0
241,1719279900,1.0734,1.0734,1.07325,1.07325,34,11,0
242,1719280800,1.07325,1.07326,1.07305,1.07311,94,9,0
243,1719281700,1.0731,1.0732,1.07308,1.07317,46,11,0
244,1719282600,1.07317,1.07319,1.07313,1.07317,53,12,0
245,1719283500,1.07317,1.07326,1.0731600000000001,1.0732,123,11,0
246,1719284400,1.07319,1.07335,1.0731600000000001,1.07333,252,11,0
247,1719285300,1.07333,1.0735,1.07309,1.07329,180,10,0
248,1719286200,1.07329,1.07351,1.07327,1.07339,176,8,0
249,1719287100,1.07339,1.07342,1.07313,1.07336,361,9,0
250,1719288000,1.07336,1.07341,1.07322,1.07331,347,10,0
251,1719288900,1.07331,1.0735,1.07311,1.07314,398,9,0
252,1719289800,1.07314,1.07353,1.07312,1.07344,353,10,0
253,1719290700,1.07344,1.07352,1.0733,1.07342,257,10,0
254,1719291600,1.07342,1.07349,1.0733,1.07345,207,10,0
255,1719292500,1.07345,1.07349,1.07338,1.07346,124,11,0
256,1719293400,1.07346,1.07357,1.07342,1.07348,264,10,0
257,1719294300,1.07351,1.07359,1.07338,1.07358,191,11,0
258,1719295200,1.07359,1.07383,1.07355,1.0737700000000001,141,8,0
259,1719296100,1.07378,1.07378,1.07358,1.07363,128,11,0
260,1719297000,1.07363,1.07366,1.07355,1.07357,154,11,0
261,1719297900,1.07357,1.07387,1.07357,1.0737700000000001,100,11,0
262,1719298800,1.0737700000000001,1.07378,1.07364,1.07373,94,12,0
263,1719299700,1.07373,1.07373,1.07354,1.07371,120,10,0
264,1719300600,1.07371,1.07378,1.07359,1.07378,101,11,0
265,1719301500,1.07378,1.07389,1.07372,1.07383,97,11,0
266,1719302400,1.07383,1.07407,1.07383,1.07405,126,10,0
267,1719303300,1.07406,1.07429,1.07406,1.0742099999999999,145,10,0
268,1719304200,1.07422,1.07425,1.07397,1.0741,205,11,0
269,1719305100,1.0741,1.07418,1.07405,1.07411,298,9,0
270,1719306000,1.0741,1.07411,1.07353,1.07354,477,10,0
271,1719306900,1.07354,1.07375,1.07342,1.07346,345,9,0
272,1719307800,1.07344,1.0735999999999999,1.07321,1.07358,304,7,0
273,1719308700,1.07358,1.07375,1.07311,1.07317,458,9,0
274,1719309600,1.0731600000000001,1.07327,1.07272,1.07276,779,7,0
275,1719310500,1.07276,1.07277,1.07208,1.07248,694,3,0
276,1719311400,1.07248,1.07295,1.07234,1.0725,725,9,0
277,1719312300,1.0725,1.07281,1.07235,1.07262,614,5,0
278,1719313200,1.07262,1.07303,1.07247,1.0729899999999999,604,9,0
279,1719314100,1.073,1.07306,1.07267,1.07295,530,8,0
280,1719315000,1.07294,1.0735,1.07288,1.07326,540,9,0
281,1719315900,1.07325,1.07337,1.07309,1.07331,558,8,0
282,1719316800,1.07331,1.07341,1.07293,1.07295,408,7,0
283,1719317700,1.07295,1.07307,1.07264,1.07278,443,8,0
284,1719318600,1.07277,1.07306,1.07269,1.07281,362,9,0
285,1719319500,1.07281,1.07291,1.0723,1.07243,528,8,0
286,1719320400,1.07243,1.073,1.0723799999999999,1.07265,567,8,0
287,1719321300,1.07265,1.07291,1.07264,1.07266,428,5,0
288,1719322200,1.07266,1.07272,1.0721,1.0723799999999999,385,9,0
289,1719323100,1.0724,1.07252,1.07219,1.07229,430,7,0
290,1719324000,1.07229,1.0724,1.07197,1.07208,490,9,0
291,1719324900,1.07208,1.07208,1.0714,1.07145,389,8,0
292,1719325800,1.07146,1.07149,1.0709,1.07113,543,7,0
293,1719326700,1.07112,1.0714,1.07091,1.07093,593,5,0
294,1719327600,1.07092,1.07147,1.0709,1.07146,615,4,0
295,1719328500,1.07146,1.07148,1.07091,1.07098,486,8,0
296,1719329400,1.07098,1.07118,1.07067,1.07073,1020,1,0
297,1719330300,1.0707200000000001,1.07096,1.07017,1.07046,818,8,0
298,1719331200,1.07047,1.07122,1.07047,1.07096,763,8,0
299,1719332100,1.07095,1.07099,1.07026,1.07034,735,6,0
300,1719333000,1.07033,1.07075,1.07005,1.07044,983,7,0
301,1719333900,1.07045,1.07057,1.06997,1.0702,653,8,0
302,1719334800,1.07019,1.07029,1.06905,1.06949,1381,6,0
303,1719335700,1.06949,1.06977,1.06924,1.06944,932,9,0
304,1719336600,1.06944,1.07002,1.06932,1.06988,650,8,0
305,1719337500,1.06988,1.0701100000000001,1.06968,1.07001,823,9,0
306,1719338400,1.07,1.07066,1.07,1.0705,636,8,0
307,1719339300,1.0705,1.07075,1.07022,1.07054,524,5,0
308,1719340200,1.07054,1.07086,1.07054,1.07062,515,9,0
309,1719341100,1.07062,1.07068,1.07023,1.07032,513,8,0
310,1719342000,1.07033,1.0707200000000001,1.0702099999999999,1.07064,452,10,0
311,1719342900,1.07064,1.07078,1.07039,1.07068,457,8,0
312,1719343800,1.07069,1.07075,1.07042,1.07044,340,11,0
313,1719344700,1.07044,1.07049,1.07013,1.0704,405,8,0
314,1719345600,1.07039,1.07084,1.07037,1.07081,431,10,0
315,1719346500,1.0708199999999999,1.07108,1.0707,1.07108,366,10,0
316,1719347400,1.07108,1.07118,1.07084,1.07115,353,10,0
317,1719348300,1.07115,1.07136,1.07114,1.07127,238,11,0
318,1719349200,1.07127,1.07145,1.07112,1.07141,295,8,0
319,1719350100,1.07141,1.07163,1.0714,1.07162,217,10,0
320,1719351000,1.07161,1.07164,1.07148,1.07153,203,10,0
321,1719351900,1.07153,1.07162,1.0713300000000001,1.07149,326,11,0
322,1719352800,1.07148,1.0715,1.07128,1.07136,338,10,0
323,1719353700,1.07136,1.07164,1.07136,1.07161,171,11,0
324,1719354600,1.07158,1.07164,1.07141,1.07151,168,10,0
325,1719355500,1.07152,1.0716,1.07141,1.07148,169,10,0
326,1719356400,1.07147,1.07147,1.07123,1.07126,124,11,0
327,1719357300,1.07126,1.07127,1.071,1.07102,134,11,0
328,1719358200,1.07101,1.07139,1.07101,1.07132,83,10,0
329,1719359100,1.07132,1.07139,1.07124,1.07135,143,12,0
330,1719360000,1.07101,1.07121,1.07101,1.07115,87,25,0
331,1719360900,1.07114,1.07136,1.07105,1.07132,75,12,0
332,1719361800,1.07137,1.07137,1.07119,1.07122,92,12,0
333,1719362700,1.07123,1.07127,1.07107,1.07117,133,12,0
334,1719363600,1.07117,1.07141,1.07115,1.07136,154,12,0
335,1719364500,1.07136,1.07146,1.07134,1.07138,81,12,0
336,1719365400,1.07139,1.07139,1.07128,1.07128,85,11,0
337,1719366300,1.07128,1.0713300000000001,1.07121,1.07122,127,11,0
338,1719367200,1.07121,1.07122,1.07102,1.07102,138,11,0
339,1719368100,1.07102,1.07108,1.07096,1.07096,82,11,0
340,1719369000,1.07097,1.07101,1.07096,1.07098,77,9,0
341,1719369900,1.07099,1.071,1.07089,1.07091,87,11,0
342,1719370800,1.07091,1.07091,1.07062,1.07067,224,11,0
343,1719371700,1.07068,1.07097,1.07065,1.07088,157,11,0
344,1719372600,1.07088,1.071,1.0708,1.07095,175,8,0
345,1719373500,1.07095,1.07116,1.07084,1.07104,292,8,0
346,1719374400,1.07104,1.07135,1.07103,1.07125,220,9,0
347,1719375300,1.07126,1.07146,1.07121,1.07124,224,9,0
348,1719376200,1.07124,1.07155,1.07102,1.07129,623,7,0
