,time,open,high,low,close,tick_volume,spread,real_volume
0,1720469280,174.062,174.067,174.05,174.067,35,11,0
1,1720469340,174.067,174.069,174.062,174.063,41,13,0
2,1720469400,174.063,174.074,174.063,174.069,42,12,0
3,1720469460,174.069,174.085,174.069,174.084,48,13,0
4,1720469520,174.083,174.084,174.075,174.076,28,14,0
5,1720469580,174.077,174.087,174.077,174.085,39,11,0
6,1720469640,174.09,174.094,174.087,174.091,29,10,0
7,1720469700,174.09,174.091,174.073,174.081,40,11,0
8,1720469760,174.079,174.083,174.064,174.064,28,12,0
9,1720469820,174.065,174.073,174.061,174.072,45,8,0
10,1720469880,174.071,174.084,174.066,174.078,57,8,0
11,1720469940,174.077,174.087,174.074,174.086,42,9,0
12,1720470000,174.087,174.09,174.073,174.075,41,3,0
13,1720470060,174.078,174.078,174.067,174.068,30,9,0
14,1720470120,174.069,174.08,174.069,174.075,24,11,0
15,1720470180,174.075,174.08,174.073,174.077,39,10,0
16,1720470240,174.077,174.079,174.073,174.077,38,11,0
17,1720470300,174.077,174.079,174.072,174.072,42,9,0
18,1720470360,174.073,174.075,174.069,174.071,32,12,0
19,1720470420,174.072,174.08,174.07,174.073,50,12,0
20,1720470480,174.073,174.088,174.073,174.083,49,12,0
21,1720470540,174.083,174.091,174.075,174.089,40,13,0
22,1720470600,174.09,174.108,174.089,174.106,77,8,0
23,1720470660,174.106,174.108,174.093,174.098,68,8,0
24,1720470720,174.097,174.101,174.097,174.1,36,11,0
25,1720470780,174.1,174.107,174.097,174.105,37,9,0
26,1720470840,174.102,174.102,174.084,174.089,56,10,0
27,1720470900,174.088,174.089,174.084,174.084,22,11,0
28,1720470960,174.084,174.096,174.084,174.094,33,12,0
29,1720471020,174.092,174.098,174.09,174.094,35,11,0
30,1720471080,174.094,174.096,174.092,174.094,11,12,0
31,1720471140,174.092,174.101,174.092,174.1,31,12,0
32,1720471200,174.101,174.111,174.097,174.108,38,11,0
33,1720471260,174.107,174.108,174.103,174.105,15,13,0
34,1720471320,174.104,174.105,174.095,174.097,28,12,0
35,1720471380,174.097,174.097,174.062,174.071,47,10,0
36,1720471440,174.071,174.072,174.063,174.069,39,14,0
37,1720471500,174.067,174.086,174.067,174.086,53,13,0
38,1720471560,174.086,174.097,174.086,174.093,32,15,0
39,1720471620,174.093,174.095,174.092,174.094,13,12,0
40,1720471680,174.094,174.104,174.091,174.093,32,12,0
41,1720471740,174.093,174.104,174.091,174.094,26,14,0
42,1720471800,174.094,174.105,174.094,174.102,35,13,0
43,1720471860,174.1,174.1,174.087,174.097,24,12,0
44,1720471920,174.097,174.099,174.082,174.088,83,11,0
45,1720471980,174.089,174.092,174.085,174.085,20,15,0
46,1720472040,174.085,174.087,174.077,174.081,48,14,0
47,1720472100,174.08,174.086,174.073,174.073,26,14,0
48,1720472160,174.073,174.073,174.057,174.057,33,15,0
49,1720472220,174.057,174.059,174.048,174.05,60,13,0
50,1720472280,174.049,174.054,174.036,174.045,60,11,0
51,1720472340,174.045,174.088,174.045,174.088,72,12,0
52,1720472400,174.088,174.088,174.075,174.077,47,15,0
53,1720472460,174.076,174.079,174.071,174.072,50,15,0
