,time,open,high,low,close,tick_volume,spread,real_volume
0,1719835200,0.91382,0.91386,0.91364,0.91384,306,20,0
1,1719835500,0.91383,0.91389,0.91365,0.91366,251,21,0
2,1719835800,0.91365,0.91377,0.91353,0.91358,355,21,0
3,1719836100,0.91357,0.91359,0.91333,0.91357,373,21,0
4,1719836400,0.91358,0.91363,0.91349,0.91356,282,20,0
5,1719836700,0.91354,0.9136,0.91331,0.91332,304,22,0
6,1719837000,0.91332,0.91358,0.91327,0.91355,310,21,0
7,1719837300,0.91352,0.91372,0.91351,0.91368,269,21,0
8,1719837600,0.91369,0.9137,0.9135,0.91355,243,22,0
9,1719837900,0.91351,0.91372,0.91347,0.91371,177,21,0
10,1719838200,0.91374,0.91389,0.91371,0.91385,238,22,0
11,1719838500,0.91386,0.91391,0.9137,0.91377,192,21,0
12,1719838800,0.91377,0.91377,0.91348,0.91353,265,22,0
13,1719839100,0.91352,0.91352,0.91337,0.91343,227,22,0
14,1719839400,0.9134,0.91357,0.91338,0.91351,233,22,0
15,1719839700,0.9135,0.9136,0.91349,0.91358,225,21,0
16,1719840000,0.9136,0.91379,0.91355,0.91375,172,21,0
17,1719840300,0.91375,0.91375,0.91354,0.91359,185,21,0
18,1719840600,0.91359,0.91361,0.91349,0.91352,185,21,0
19,1719840900,0.91354,0.91361,0.91349,0.9136,239,21,0
20,1719841200,0.91359,0.91366,0.91349,0.91354,196,21,0
21,1719841500,0.91353,0.91353,0.91341,0.91342,208,22,0
22,1719841800,0.91343,0.91347,0.91333,0.9134,191,20,0
23,1719842100,0.91341,0.91354,0.9134,0.91348,190,21,0
24,1719842400,0.91349,0.91363,0.9134,0.91343,200,22,0
25,1719842700,0.91342,0.91347,0.91334,0.91343,199,21,0
26,1719843000,0.91343,0.91359,0.9134,0.91358,197,22,0
27,1719843300,0.91357,0.91363,0.91341,0.91347,226,22,0
28,1719843600,0.91347,0.91349,0.91328,0.91329,180,22,0
29,1719843900,0.91328,0.9133,0.91316,0.91328,198,21,0
30,1719844200,0.91329,0.91344,0.91326,0.91341,252,21,0
31,1719844500,0.9134,0.91352,0.91334,0.91342,264,21,0
32,1719844800,0.91342,0.91384,0.91342,0.91376,295,22,0
33,1719845100,0.91377,0.91378,0.9134,0.91376,265,18,0
34,1719845400,0.91376,0.91376,0.91329,0.91337,302,20,0
35,1719845700,0.91337,0.91343,0.91328,0.91335,228,21,0
36,1719846000,0.91335,0.91335,0.91306,0.91321,286,19,0
37,1719846300,0.9132,0.91326,0.913,0.91306,351,19,0
38,1719846600,0.91308,0.91312,0.91291,0.91299,327,22,0
39,1719846900,0.913,0.91314,0.9129,0.91313,306,21,0
40,1719847200,0.91311,0.91314,0.91262,0.91267,507,20,0
41,1719847500,0.91267,0.91282,0.91248,0.91272,510,18,0
42,1719847800,0.91272,0.91284,0.91264,0.91277,389,21,0
43,1719848100,0.91275,0.91291,0.91269,0.91282,592,18,0
44,1719848400,0.91279,0.9128,0.91231,0.91245,612,21,0
45,1719848700,0.91244,0.91273,0.9124,0.91265,508,21,0
46,1719849000,0.91265,0.91296,0.91254,0.91292,397,19,0
47,1719849300,0.91291,0.91311,0.91282,0.91303,477,20,0
48,1719849600,0.91301,0.91323,0.9129,0.91311,557,20,0
49,1719849900,0.91311,0.91326,0.91301,0.91319,441,19,0
50,1719850200,0.91318,0.91353,0.91312,0.91342,550,17,0
51,1719850500,0.91343,0.91369,0.91341,0.91359,422,20,0
52,1719850800,0.9136,0.91362,0.91344,0.91349,404,20,0
53,1719851100,0.91348,0.91385,0.91346,0.91376,580,18,0
54,1719851400,0.91374,0.91405,0.91364,0.91399,815,20,0
55,1719851700,0.914,0.91464,0.914,0.91448,981,17,0
56,1719852000,0.91448,0.9145,0.91414,0.91417,747,20,0
57,1719852300,0.91418,0.91431,0.91391,0.914,662,21,0
58,1719852600,0.91399,0.91413,0.91386,0.914,670,20,0
59,1719852900,0.91401,0.91428,0.91386,0.91406,409,21,0
60,1719853200,0.91394,0.9154,0.91394,0.91444,1329,8,0
61,1719853500,0.91448,0.91462,0.91416,0.91434,1021,20,0
